InteractionNumber,ElapsedTime,SplitTime,missCount
0,2.749985
1,3.893692,1.143707
2,4.921631,1.027939
3,6.113785,1.192154
4,6.940262,0.8264771
5,7.667068,0.7268066
6,8.867981,1.200912
7,10.51143,1.643448
8,11.23825,0.7268219
9,12.89282,1.654572
10,13.53165,0.6388245
11,14.50824,0.976593
12,16.35063,1.842392
13,18.34308,1.992447
14,21.3252,2.982117
15,22.69182,1.366623
16,24.3576,1.665787
17,24.78343,0.425827
18,26.81187,2.028442
19,27.93954,1.12767
20,29.0816,1.142059
21,29.85809,0.7764893
22,30.54666,0.6885681
23,31.34889,0.8022308
24,32.00015,0.6512604
25,33.19035,1.190201
26,34.51903,1.328674
27,35.14578,0.6267548
28,36.18616,1.040375
29,37.13838,0.9522247
30,37.89006,0.7516785
31,38.60425,0.7141876
32,41.42297,2.818726
33,42.35091,0.9279327
34,43.13995,0.7890472
35,43.74194,0.6019897
36,44.85672,1.114777
37,45.58339,0.7266693
38,46.21078,0.6273956
39,47.37546,1.164673
40,48.2021,0.8266449
41,49.49327,1.291168
42,50.24939,0.7561188
43,51.2083,0.9589081
44,52.16142,0.953125
45,52.77551,0.61409
46,53.42728,0.6517639
47,54.05411,0.6268311
48,54.88185,0.8277435
49,55.60555,0.7236938
50,56.49571,0.8901672
51,56.98433,0.4886169
